name,category,effectIndex,startsCombo,combosWith
Air Cutter,cool,0,FALSE,
Brick Break,cool,0,FALSE,
Cut,cool,0,FALSE,
Dark Pulse,cool,0,FALSE,
Dragon Claw,cool,0,FALSE,
Fire Fang,cool,0,FALSE,
Focus Blast,cool,0,FALSE,
Force Palm,cool,0,TRUE,Hex|Smelling Salts
Horn Attack,cool,0,FALSE,
Ice Fang,cool,0,FALSE,
Iron Tail,cool,0,FALSE,
Metal Claw,cool,0,FALSE,
Peck,cool,0,FALSE,
Psycho Cut,cool,0,FALSE,
Razor Leaf,cool,0,FALSE,
Rolling Kick,cool,0,FALSE,
Shadow Claw,cool,0,FALSE,
Slash,cool,0,FALSE,
Spark,cool,0,FALSE,
Thunder Fang,cool,0,FALSE,
Thunder Punch,cool,0,FALSE,
Thunder Shock,cool,0,FALSE,
Thunderbolt,cool,0,FALSE,
Twister,cool,0,FALSE,
Vine Whip,cool,0,FALSE,
Wing Attack,cool,0,FALSE,
Fire Punch,tough,0,FALSE,
Headbutt,tough,0,FALSE,
Iron Head,tough,0,FALSE,
Karate Chop,tough,0,FALSE,
Mud Shot,tough,0,FALSE,
Poison Jab,tough,0,FALSE,
Pound,tough,0,FALSE,
Rock Smash,tough,0,FALSE,
Rock Throw,tough,0,FALSE,
Scratch,tough,0,FALSE,
Seed Bomb,tough,0,FALSE,
Slam,tough,0,FALSE,
Smog,tough,0,FALSE,
Stomp,tough,0,FALSE,
Strength,tough,0,FALSE,
Tackle,tough,0,FALSE,
Vice Grip,tough,0,FALSE,
Waterfall,tough,0,FALSE,
Aqua Tail,beauty,0,FALSE,
Dazzling Gleam,beauty,0,FALSE,
Dragon Pulse,beauty,0,FALSE,
Earth Power,beauty,0,FALSE,
Energy Ball,beauty,0,FALSE,
Fairy Wind,beauty,0,FALSE,
Flamethrower,beauty,0,FALSE,
Flash Cannon,beauty,0,FALSE,
Ice Punch,beauty,0,FALSE,
Powder Snow,beauty,0,FALSE,
Power Gem,beauty,0,FALSE,
Absorb,clever,0,FALSE,
Confusion,clever,0,FALSE,
Gear Grind,clever,0,FALSE,
Helping Hand,clever,0,FALSE,
Needle Arm,clever,0,FALSE,
Poison Fang,clever,0,FALSE,
Psychic,clever,0,FALSE,
Shadow Ball,clever,0,FALSE,
Zen Headbutt,clever,0,FALSE,
Bubble,cute,0,FALSE,
Egg Bomb,cute,0,FALSE,
Ember,cute,0,FALSE,
Return,cute,0,FALSE,
Water Gun,cute,0,FALSE,
Agility,cool,1,TRUE,Baton Pass|Electro Ball
Aqua Jet,cool,1,FALSE,
Extreme Speed,cool,1,FALSE,
Mach Punch,cool,1,FALSE,
